Name,Pay (USD millions),Year,Category
Mike Trout,50.6,2019,Athletes
Jimmy Buffett,50.0,2019,Musicians
Eminem,50.0,2019,Musicians
Fleetwood Mac,49.0,2019,Musicians
Judy Sheindlin,49.0,2019,Personalities
Khalil Mack,55.0,2019,Athletes
Russell Westbrook,53.7,2019,Athletes
Billy Joel,52.0,2019,Musicians
Bruno Mars,51.5,2019,Musicians
Novak Djokovic,50.6,2019,Athletes
Mike Trout,50.6,2019,Athletes
Jimmy Buffett,50.0,2019,Musicians
Eminem,50.0,2019,Musicians
Fleetwood Mac,49.0,2019,Musicians
Judy Sheindlin,49.0,2019,Personalities
Phil Mickelson,48.4,2019,Athletes
Ariana Grande,48.0,2019,Musicians
Paul McCartney,48.0,2019,Musicians
James Harden,47.7,2019,Athletes
Conor McGregor,47.0,2019,Athletes
DeMarcus Lawrence,46.9,2019,Athletes
Sean Hannity,46.0,2019,Personalities
The Chainsmokers,46.0,2019,Musicians
Steve Harvey,45.0,2019,Personalities
Bryce Harper,44.5,2019,Athletes
Guns N' Roses,44.0,2019,Musicians
Chris Paul,43.8,2019,Athletes
Chris Evans,43.5,2019,Actors
Kyrie Irving,43.3,2019,Athletes
Giannis Antetokounmpo,43.2,2019,Athletes
Jennifer Lopez,43.0,2019,Musicians
Sofia Vergara,43.0,2019,Television actresses
Luke Bryan,42.5,2019,Musicians
Drew Brees,42.4,2019,Athletes
Simon Cowell,42.0,2019,Personalities
Aaron Donald,41.4,2019,Athletes
Damian Lillard,41.1,2019,Athletes
Paul Rudd,41.0,2019,Actors
Jerry Seinfeld,41.0,2019,Comedians
Rolling Stones,41.0,2019,Musicians
Sebastian Vettel,40.3,2019,Athletes
DJ Khaled,40.0,2019,Musicians
Marshmello,40.0,2019,Musicians
The Weeknd,40.0,2019,Musicians
Lady Gaga,39.5,2019,Musicians
Blake Griffin,39.1,2019,Athletes
Dave Matthews Band,39.0,2019,Musicians
Rory McIlroy,39.0,2019,Athletes
Paul George,38.6,2019,Athletes
Zac Brown Band,38.5,2019,Musicians
Calvin Harris,38.5,2019,Musicians
Kendrick Lamar,38.5,2019,Musicians
Brandin Cooks,38.0,2019,Athletes
Shawn Mendes,38.0,2019,Musicians
Celine Dion,37.5,2019,Musicians
Kylie Jenner,590.0,2020,Personalities
Kanye West,170.0,2020,Musicians
Roger Federer,106.3,2020,Athletes
Cristiano Ronaldo,105.0,2020,Athletes
Lionel Messi,104.0,2020,Athletes
Tyler Perry,97.0,2020,Directors/Producers
Neymar,95.5,2020,Athletes
Howard Stern,90.0,2020,Personalities
LeBron James,88.2,2020,Athletes
Dwayne Johnson,87.5,2020,Actors
Rush Limbaugh,85.0,2020,Personalities
Ellen DeGeneres,84.0,2020,Personalities
Bill Simmons,82.5,2020,Personalities
Elton John,81.0,2020,Musicians
James Patterson,80.0,2020,Authors
Stephen Curry,74.4,2020,Athletes
Ariana Grande,72.0,2020,Musicians
Ryan Reynolds,71.5,2020,Actors
Gordon Ramsay,70.0,2020,Personalities
Jonas Brothers,68.5,2020,Musicians
The Chainsmokers,68.0,2020,Musicians
Dr. Phil McGraw,65.5,2020,Personalities
Ed Sheeran,64.0,2020,Musicians
Kevin Durant,63.9,2020,Athletes
Taylor Swift,63.5,2020,Musicians
Tiger Woods,62.3,2020,Athletes
Kirk Cousins,60.5,2020,Athletes
Post Malone,60.0,2020,Musicians
J.K. Rowling,60.0,2020,Authors
Ryan Seacrest,60.0,2020,Personalities
Carson Wentz,59.1,2020,Athletes
Rolling Stones,59.0,2020,Musicians
Mark Wahlberg,58.0,2020,Actors
Tyson Fury,57.0,2020,Athletes
Marshmello,56.0,2020,Musicians
Russell Westbrook,56.0,2020,Athletes
Ben Affleck,55.0,2020,Actors
Sean Combs,55.0,2020,Musicians
Shawn Mendes,54.5,2020,Musicians
Vin Diesel,54.0,2020,Actors
Lewis Hamilton,54.0,2020,Athletes
Jay-Z,53.5,2020,Musicians
Billie Eilish,53.0,2020,Musicians
Rory McIlroy,52.0,2020,Athletes
Simon Cowell,51.0,2020,Personalities
Jerry Seinfeld,51.0,2020,Comedians
BTS,50.0,2020,Musicians
Kim Kardashian West,49.5,2020,Personalities
Drake,49.0,2020,Hip-hop impresario
Jared Goff,49.0,2020,Athletes
Judy Sheindlin,49.0,2020,Personalities
Akshay Kumar,48.5,2020,Actors
Conor McGregor,48.0,2020,Athletes
James Harden,47.8,2020,Athletes
Giannis Antetokounmpo,47.6,2020,Athletes
Jennifer Lopez,47.5,2020,Musicians
Anthony Joshua,47.0,2020,Athletes
Pink,47.0,2020,Musicians
Deontay Wilder,46.5,2020,Athletes
David Copperfield,46.0,2020,Magicians
Rihanna,46.0,2020,Musicians
Luke Bryan,45.5,2020,Musicians
Lin-Manuel Miranda,45.5,2020,Actors
Backstreet Boys,45.0,2020,Musicians
Tom Brady,45.0,2020,Athletes
Phil Collins,45.0,2020,Musicians
Drew Brees,44.8,2020,Athletes
Novak Djokovic,44.6,2020,Athletes
Will Smith,44.5,2020,Actors
Blake Shelton,43.5,2020,Musicians
Sean Hannity,43.0,2020,Personalities
Sofía Vergara,43.0,2020,Television Acresses
Celine Dion,42.0,2020,Musicians
Kyrie Irving,41.9,2020,Athletes
The Eagles,41.0,2020,Musicians
Adam Sandler,41.0,2020,Actors
Phil Mickelson,40.8,2020,Athletes
Julio Jones,40.5,2020,Athletes
Metallica,40.5,2020,Musicians
Jackie Chan,40.0,2020,Actors
Rafael Nadal,40.0,2020,Athletes
Heidi Klum,39.5,2020,Models
Travis Scott,39.5,2020,Musicians
Kevin Hart,39.0,2020,Comedians
Klay Thompson,38.8,2020,Athletes
Katy Perry,38.5,2020,Musicians
Lady Gaga,38.0,2020,Musicians
Bon Jovi,38.0,2020,Musicians
U2,38.0,2020,Musicians
Naomi Osaka,37.4,2020,Athletes
Canelo Alvarez,37.0,2020,Athletes
Damian Lillard,37.0,2020,Athletes
Paul McCartney,37.0,2020,Musicians
Oprah Winfrey,37.0,2020,Personalities
DJ Khaled,36.5,2020,Musicians
Kiss,36.5,2020,Musicians
Sebastian Vettel,36.3,2020,Athletes
Serena Williams,36.0,2020,Athletes
Angelina Jolie,35.5,2020,Actresses
Mohamed Salah,35.1,2020,Athletes
